iter	RMSE
870	20986.27327
871	20984.22041
872	20974.57745
873	20973.29314
874	20960.1929
875	20952.59784
876	20947.49862
877	20943.38341
878	20920.27616
879	20916.74353
880	20913.64527
881	20898.11694
882	20886.36569
883	20883.37047
884	20873.00335
885	20860.41449
886	20854.6454
887	20840.98374
888	20830.12696
889	20818.83045
890	20817.56072
891	20803.5302
892	20799.33586
893	20783.37936
894	20779.689
895	20778.45244
896	20751.5568
897	20742.76339
898	20727.5058
899	20719.63261
900	20702.10502
901	20691.5606
902	20684.20253
903	20667.16755
904	20664.97171
905	20657.40103
906	20640.37138
907	20636.93113
908	20635.71209
909	20631.72908
910	20623.31659
911	20606.33629
912	20587.69306
913	20584.99439
914	20570.97323
915	20563.09858
916	20551.74535
917	20545.12573
918	20541.45057
919	20521.35815
920	20513.10849
921	20487.2635
922	20477.18366
923	20475.94629
924	20473.42214
925	20466.51836
926	20459.0964
927	20456.04169
928	20450.4573
929	20441.61874
930	20437.51755
931	20433.89488
932	20421.34082
933	20414.37567
934	20411.15804
935	20392.481
936	20382.75381
937	20366.44796
938	20355.67575
939	20335.58769
940	20334.40354
941	20323.02749
942	20313.15646
943	20301.79029
944	20290.97136
945	20281.08015
946	20275.9861
947	20272.79211
948	20255.55239
949	20247.23004
950	20236.00786
951	20232.9214
952	20225.38086
953	20210.15612
954	20203.05851
955	20200.7798
956	20197.04593
957	20192.41936
958	20177.20909
959	20165.09637
960	20159.91956
961	20152.3416
962	20150.21047
963	20142.18183
964	20139.43901
965	20137.44639
966	20128.37545
967	20121.51863
968	20109.69763
969	20104.14923
970	20098.758
971	20095.84979
972	20087.62848
973	20081.2533
974	20080.11004
975	20068.06566
976	20054.70381
977	20038.96604
978	20032.74014
979	20022.30834
980	20009.98969
981	20008.16088
982	20000.68632
983	19994.67017
984	19988.39129
985	19987.24258
986	19985.67665
987	19977.48639
988	19974.30312
989	19973.07449
990	19956.63784
991	19950.71164
992	19948.17175
993	19937.90883
994	19917.08503
995	19915.96643
996	19912.91689
997	19910.66899
998	19903.22425
999	19897.78338
